Path,SHA,SHA256,Read scope,Live verification
docs/pablicus/approved/2026-09-11/OWNER_DECISION_AMENDMENT_02.md,d791adc19aade1015f4ba34cf4beb5ce2069c93f,90851be6932b4d3e4f65bb60175fb2167f48588dacd53b483cbc0bc2bc6133c8,full canonical text,none
docs/pablicus/approved/2026-09-11/AMENDMENT_02_COMPETITIVE_CAPABILITIES.md,d791adc19aade1015f4ba34cf4beb5ce2069c93f,3aaff30c37ce6f2e1d991af77ddd2ba3ae3705a4cb90b3a542a44e28b7d93813,full canonical text,none
docs/pablicus/approved/2026-09-11/Pablicus_Source_Scope.md,d791adc19aade1015f4ba34cf4beb5ce2069c93f,c2aac16b19d335e01cf5c9b3e8574286fee8cb48607b6720c9844b06a7c98b00,full canonical text,none
docs/pablicus/approved/2026-09-11/OWNER_DECISION.md,d791adc19aade1015f4ba34cf4beb5ce2069c93f,97db917f4a391bed1cf8c7ff808b1dd871365a5cc171d36453b096fda0fb393a,full canonical text,none
docs/pablicus/approved/2026-09-11/AMENDMENT_01_UNIVERSAL_AI_ASSISTANT.md,d791adc19aade1015f4ba34cf4beb5ce2069c93f,709a1832e22e82c8a4c58afdbbda82937a93a849ff2c3e37179c57b8f69bfdb1,full canonical text,none
docs/pablicus/approved/2026-09-11/Pablicus_Continuation_Plan_2026-09-11.md,d791adc19aade1015f4ba34cf4beb5ce2069c93f,d914625521cebfc3a191580f06c5734782287c9fc15b8034e3ad026891bbbb59,full canonical text,none
docs/pablicus/approved/2026-09-11/OWNER_DECISION_AMENDMENT_01.md,d791adc19aade1015f4ba34cf4beb5ce2069c93f,bc1e7cf1ee425799edbf530a996afe2614653967429360ed1d1130b31192d028,full canonical text,none
docs/pablicus/approved/2026-09-12/OWNER_DECISION_AMENDMENT_03.md,d791adc19aade1015f4ba34cf4beb5ce2069c93f,be0c37f971777f6342a00f1eaaa7827c1ebbd021cc5f999a9904c96d97032f7b,full canonical text,none
docs/pablicus/approved/2026-09-12/AMENDMENT_03_DESIGN_AUTHORITY_AND_ORIGINAL_ASSETS.md,d791adc19aade1015f4ba34cf4beb5ce2069c93f,bba3a3ae9e0a9a415b82113c5ae72745febd2210883a00fb5f234d831efa53a7,full canonical text,none
docs/pablicus/design/2026-09-12/DESIGN_REFERENCE_REGISTER.md,d791adc19aade1015f4ba34cf4beb5ce2069c93f,3f2ac507ed5ac7b3502460c7c21bf7617927eb420b995b8f24e933a07e54bff1,full canonical text,none
docs/engineering/block-02/SHELL_2A_COMPONENT_REGISTRY.md,d791adc19aade1015f4ba34cf4beb5ce2069c93f,377ac81d7f498499af0edffffdeb61652e860adad4391d8f61e45db5ad1105eb,report or structured metadata inspection,none
docs/engineering/block-02/SHELL_2A_OWNERSHIP_MAP.json,d791adc19aade1015f4ba34cf4beb5ce2069c93f,5356cc7021625f1e066c250f84919dd9dde4487efdc2029167e518fee0020a96,report or structured metadata inspection,none
